Comment,Like_Count,OpenAI_Response,Comment_Decision,Comment_Decision_Confidence
The celebration of the french players when the try is not given was despicable.,0,Disagree:4,Disagree,4
"Not a try, he lost control of the ball",0,Agree:4,Agree,4
"Surely that result can be overturned, wouldn't be hard to do. The integrity of the sport should prevail.",0,Disagree:3,Disagree,3
What an absolute disgrace.... Scotland got totally screwed... world rugby refereeing just keeps getting worse... unbelievably disgusting,0,Disagree:5,Disagree,5
I hate nic berry it was a try at the end and it was obvious the ref should say it’s a try,0,Disagree:4,Disagree,4
"Its a fair call, looked like the ball was stuck on top of someones foot.",0,Agree:4,Agree,4
If I was French I’d be embarrassed to watch my team jump around like kids at a win like that hope edwards brought them back to reality they got lucky!,0,Disagree:4,Disagree,4
Fu reff,0,Disagree:4,Disagree,4
"Ok, I guess no one is happy here with either the game or the outcome of it. As a frenchman, I felt very disappointing with the level of play we produced on field (or the absence of) and I also 100% understand why the scots would feel like we've been robbed. That being said... 1. scots only scored 3 point between the 29th minute and the end of the game (even with a yellow card for the French), 2. as unfortunate as it is, the final decision is consistent with the current rules of the game. While we all agree the ball was probably grounded, there is no clear evidence of it and with an on-field no try decision the outcome is no try. It's frustrating, it's whatever you want, but it's consistent. All in all, not a great game, lots of frustration on both sides, not the type of rugby we (I) want to watch on the weekend... Lovely atmosphere it seemed though, and we don't expect less from Murrayfield!",0,Agree:4,Agree,4
"French here. Sorry Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿, you should have won with this last try. I lived 4 beautiful years in your country. I love you dearly.",0,Disagree:4,Disagree,4
Daylight robbery of the highest level from the TMO. SHAME ON YOU!,0,Disagree:5,Disagree,5
French second try was forward 😂,0,Disagree:3,Disagree,3
No try ! There is clearly a french teeth protector preventing the grounding .,0,Disagree:4,Disagree,4
"Il y a quand même un paquet de faux-culs chez les français. Venir sur ce chat pour s’excuser de la victoire et rappeler aux écossais à quel point on les aime… J’en sais rien s’il y a essai et oui, on aime beaucoup les écossais. Mais quand c’est l’inverse, vous croyez qu’ils sont nombreux parmi les “Anglo” a venir nous dire qu’ils sont tristes pour nous? Après le quart contre l’AdS, vous avez vu la teneur de la presse rugby en dehors de France? A part reconnaître qu’on avait fait un beau match, il n’y avait pas une seule remise en cause du vol caractérisé de O’Keefe.  Les mecs ont subis tellement de French Bashing qu’ils se sentent obligés d’aller se mettre à genoux et de s’auto-détester (en anglais s’il vous plaît) pour se faire dire un truc sympa en retour…",0,Disagree:4,Disagree,4
There was several bad decisions throughout this match that influenced the scoreboard. In the end I feel things balanced out and the correct team won.,0,Agree:4,Agree,4
WTF is going on with these TV refs? You could see it was on the ground? I have to say that I think the bookies have gotten to the TV refs.,0,Disagree:4,Disagree,4
Vergognoso arbitraggio,0,Disagree:4,Disagree,4
"Guys guys guys, World Rugby rules, as dumb as they may be, are not that complicated to understand.<br>Referre on field decision is ""No try"" therefore TMO need to have a CLEAR angle to overturn that decision.<br>There is no such thing as a clear angle here. SO NO TRY.<br>Calling this a robery is, in my opinion, kind of overracted.<br>Scotland loose the game by being unable to score around halftime with our team at 14 men, kind of what happened to us in the WC quarter finals againts SA.. Sad memories",0,Agree:4,Agree,4
"Nic Berry = one of the worst referees. On behalf of the world, can he please retire. (And I'm not Scot / Frenchman).",0,Disagree:4,Disagree,4
"As a Frenchman, there is no honor in wining this way.",2,Disagree:4,Disagree,4
"Start holding these officials accountable for their calls and we will see a big change in these ""I don't give a  f"" calls.",0,Disagree:4,Disagree,4
"Partido apasionante entre Escocia vs Francia, donde Francia, despertó después de una primera jornada decepcionante.<br><br>Francia, mantuvo orden en todas las líneas y supo sujetar a Escocia, con potentes dósis de energías en cada avance Escocés.<br><br>Escocia en su línea de fuerza y pasión habitual, le faltó quizás poner mejor estrategia en la segunda mitad del segundo tiempo.<br><br>Sin duda, en  el último cartucho de ensayo, tuvo delante un muro Francés que se mantuvo en gran línea física muy exigente, durante todo el partido. <br><br>El posible ensayo, de Escocia, fue en mi opinión muy bien anulado por el árbitro y revisión , porque en todo momento el balón fue bien bloqueado por la línea defensiva de Francia.<br><br>Felicidades a Francia y arriba Escocia, porque su juego es bueno!!<br>Muchas gracias, Guinness Six Nations!!<br>Saludos!!<br>Rafa",0,Agree:4,Agree,4
l'Ecosse c'est faite volée,0,Disagree:5,Disagree,5
Can someone explain why the yellow card wasn't a penalty try ?,0,Disagree:4,Disagree,4
And Rassie was the bad guy when this same ref tried to screw the springboks out of the lions series🤔,1,Disagree:4,Disagree,4
"French here. Yes it was a try at the end, however Scotland had opportunities to win this match way before, it should not have come to that given the pitiful form of Les Bleus. <br><br>Also, don’t want to be a sore winner, but DvdM’s high tackle on Fickou should have been a penalty try. 😅<br><br>France desperately needed some victory after the World Cup, so even if it is not the most beautiful one, I will take it … <br><br>A key takeaway is that Scotland is rising its game every year. Love how this team is growing.",1,Agree:3,Agree,3
"All they had to do was too spread the ball wide. Simple basic rule, after two drives spread the ball.",0,Disagree:3,Disagree,3
Schrodingers ball,0,Disagree:3,Disagree,3
HAS ANYONE ASKED SAM SKINNER WHETHER HE ACTUALLY GROUNDED THE BALL???????,0,Disagree:3,Disagree,3
There was no video evidence of the grounding ...so the tmo was right ...he couldn't prove for sure it was grounded..even though it was . So unlucky Scotland..I was rooting for ye ..as ah irish supporter,1,Agree:4,Agree,4
Scotland should surely win this match but the Scottish supporters experienced the daily life of the French so once the coin falls on the French side I'm not going to complain,1,Agree:3,Agree,3
Eso es try acá en Argentina hasta chile dando la vuelta al mundo.,0,Disagree:4,Disagree,4
"Scotland, our Celtic cousins, you guys were robbed, end of story.",0,Disagree:3,Disagree,3
That is shocking that’s 100 percent a try,0,Disagree:4,Disagree,4
"Is it just me or has become ""stealing"" a team's victory with bad/ false referee decisions (despite having a TMO) become more & more frequent? This is not the evolution I wanted my favourite sport to undergo...",0,Disagree:4,Disagree,4
Six nations is a joke. Never watching it ever again. Utter clown show.,0,Disagree:4,Disagree,4
Scotland was robbed! Clearly a try!,0,Disagree:4,Disagree,4
Yet again poor refereeing at the end...the ball clearly touched the ground!!,0,Disagree:4,Disagree,4
Never a try . Get over it .,1,Agree:4,Agree,4
"Cest quoi votre problème,  moi aussi j'ai l'impression qu'il y a essaie mais on est sur la ligne , le plan video est au niveau des chaussettes,  on voit le ballon toucher le terrain , mais qui peut me confirmer qu'il aprecois le vert de la pelouse, ou le blanc de la ligne d essaie ? L ' écossais est arrêté sur la ligne,  larbitre arrive , au debut il y a un pied sous le ballon , puis le ballon disparaît pour l'arbitre,  et sur la video on le voit glisser du pieds , en allant vers le camps écossais,  mais sans jamais voir là où il est aplati. <br>Je suis désolé,  j'ai pas l'impression que l'on ait gagné  ,  il y avait peut être essai , oui , mais apres la decision terrain de l'arbitrage,  qui peut me dire la couleur du sol là où est aplati le ballon.<br>Qui voit la couleur du sol??<br><br>L'arbitre a bien tout expliquer,  ainsi que la règle,  qui s'applique justement ici . <br><br>Et si vous remonter au début de l'action,  dites moi que finn russel n'est pas hors jeu lors de sa monté sur le Garrec.  J'ai mis 5 fois le replay et ca mériterait un arbitrage vidéo,  mais rien.<br>Pas un ralenti sur les hors jeu de ligne français 😂",0,Disagree:4,Disagree,4
"To be honest I really think this game should be a prime example in opening up a new discussion as to how a on the line try is awarded where players are in a huddle like that. <br><br>In my opinion the TMO has had basically a nightmare decision to make and has no choice in that but to go with the letter of the law. The ref has done a very bad job imo by outright declaring his decision to TMO before any check is made.<br><br>In my opinion, the officiating now needs either 1 of 2 things because this is a decision everyone will feel is not right. <br><br>1. The ref and the TMO act as two separate referee officials that can make a decision freely on their end. The ref is the onfield official and any decisions he makes is taken as final throughout the course of the game. So yellow card challenges where the ref clearly believes its a yellow card is a sin bin and thats that (apart from high tsckle challenges as I do agree having them go to TMO review as the player is initially in a sin bin for 10 minutes is a good decision and immediately removes any break from the natural flow of the game.). Where a challenge is contentious and is a red card, it would be good for the ref to use the red card to take a player off field and use the TMO 10 minute review to ensure the decision is upheld or not. <br><br>However for trys especially a try that is game winning, the TMO should be then allowed to declare to the ref his belief or opinion where a ball is a try or not, rather then having to provide all sorts of evidence to say the on field decision is wrong.<br><br>2. I prefer this idea persoanlly. 1 is convoluted and Im not too sure how you would make this work. However for me option 2 would involve bringing new technology to the game. Something basically like goal line technology where a rugby ball can be determined as to whether it has reached the try line or not. This for me would make the law the TMO currently has way more accessible as what it would mean is a system where all the players involved are taken out of the shot, and only the rugby ball and the try line are considered.",0,Disagree:4,Disagree,4
Delincuentes,0,Disagree:3,Disagree,3
"pathetic. berry & whitehouse...2nd and 3rd worst refs in world rugby. they should be ashamed of themselves. scotland, you won this. (hats off to the french fans 👍 )",0,Disagree:4,Disagree,4
Nick should not be allowed a whistle and a rugby game,0,Disagree:4,Disagree,4
"Nic Berry, what else can you say",0,Disagree:5,Disagree,5
"Clearly a try. 80 million people could see it was a try, but the TMO...""I don't know?""",0,Disagree:5,Disagree,5
As a South African the Scott's were robbed. It's a try,1,Disagree:4,Disagree,4
Clear try,0,Disagree:4,Disagree,4
Sorry guys we robbed u as o'keef  robbed us ...,0,Disagree:4,Disagree,4
The Flying Dutchmen won in my heart ❤  coming from your Saffa boys 🫶🏿,0,Disagree:3,Disagree,3
"Disappointed but not surprised by the French's TMO win, AGAIN!",2,Disagree:4,Disagree,4
"I am just reading the comments cause I am a rugby noob, and I am impressed by the honesty of the french supporters!  Massive respect to this sport",0,Agree:4,Agree,4
"Play to the whistle ,",0,Agree:4,Agree,4
the try was not conclusive. What are people yapping on about,0,Agree:4,Agree,4
AS A SOUTH AFRICAN ...FRANCE AND THAT PAID  DECISION CAN GO NAAAAI DEEEP ...CUNNTTZZZ ROBBERY,1,Disagree:3,Disagree,3
Maybe it’s a good idea to hire TMO’s who can see? Just a thought,2,Disagree:4,Disagree,4
"I didn't know VAR has come into rugby, i thought rugby was trying to teach football about the benefits of TMO and the card system and being sent to the sin bin. Finn Russel was a gentleman about it.",0,Disagree:4,Disagree,4
"Nigel Owens said in commentary "" that's a TRY",0,Disagree:4,Disagree,4
Gotta love rugby! Best sport out there.,0,Agree:3,Agree,3
lol massively controversial gtfoh no way they could have awarded that last non try great decision of no try,0,Disagree:4,Disagree,4
Is no one talking about the French knock-on? It looked like he was playing a volleyball match FFS.,0,Disagree:4,Disagree,4
Really solid game regardless of the final drama,0,Agree:3,Agree,3
"The ball was held up for sure.... to me , when we see the way the ball touching the grass (if it did) it look like the ball got dropped....so no try",1,Agree:3,Agree,3
02.32 forward pass that led to a French try. It's a shame that we won that game. As a Frenchman i agree with most comments and apologize to the great Scotts.,0,Agree:4,Agree,4
Such a shame after both teams played great to have an incorrect ending.,2,Disagree:4,Disagree,4
This shit is brutal. I love it,0,Disagree:3,Disagree,3
😂😂😂😂😂 crying jocks..,0,Disagree:3,Disagree,3
😢😢😢😢😢😢 ref needs to take a good look at that,0,Disagree:4,Disagree,4
Go on france!!😂😂😂,1,Agree:2,Agree,2
6 nations conveniently chose a terrible angle for the highlights package,0,Disagree:3,Disagree,3
How do you expect new fans to come on board when you see weak and feeble refereeing like this example at the end. Clearly ball was grounded. Hiding behind the language will only put new fans off of following the sport.,0,Disagree:4,Disagree,4
"it’s funny how nobody speak about russel offside on the last action. France should never loss this possession. Anyways, France played badly but deserv victory. Scotland didn t played well either.",0,Disagree:3,Disagree,3
This decisions will be the end of rugby.,0,Disagree:3,Disagree,3
SCOTLAND ROBBED,1,Disagree:4,Disagree,4
Right call. Scotland had their chances.,1,Agree:4,Agree,4
"La Francia ha rubato la partita, come al solito.",0,Disagree:4,Disagree,4
Blind man,0,Disagree:4,Disagree,4
Match fixing has no place in sport.,0,Agree:5,Agree,5
"Try for scotland, defeat is clearly undeserved for our scottish friends. I wish you the best for the end of the six nations. Alex from France.",0,Disagree:4,Disagree,4
"Can anyone show me a picture of that rugby ball being grounded on the try line without any shadow of a doubt??<br><br>It was the right decision when the on field decision is ""no try"". Now, if the on field decision is ""try"" its a different story.",0,Agree:4,Agree,4
scotland were robed it’s a scandal,0,Disagree:4,Disagree,4
France better  team.scotland are rubbish..hardly inside  france 22 throughout  the match..playing tennis not rugby..home advantage  home crowd average bunch at best.😂😂😂😂,0,Agree:3,Agree,3
Ah FFS - that is clearly a try. The frikken TMO's are like having a lawyer decide rugby. GET RID OF THEM,1,Disagree:4,Disagree,4
"Never mind the controversy at the end, the final pass for the second France try went so far forwards I'm appalled it was allowed.",0,Disagree:4,Disagree,4
Stevie Wonder would give the try.,0,Disagree:4,Disagree,4
The end of the game with both teams not knowing if they should celebrate or not was Hilarious. 🤣🤣🤣🤣,1,Agree:4,Agree,4
I am french.  <br>The english would say: Good game!<br>But we say : Sorry to Scotland for such a farce.,0,Disagree:4,Disagree,4
These yellow cards are becoming pathetic.,0,Disagree:4,Disagree,4
I could see the ball touch the ground from the other side of the world. The Scots were robbed.,1,Disagree:5,Disagree,5
Scotland was robbed of a try,0,Disagree:4,Disagree,4
meta si vede benissimo . fuori l albrito e collaboratori del tmo,1,Disagree:4,Disagree,4
I think that last ball was down....I'd give it a try there. Bad luck Scots.,0,Disagree:4,Disagree,4
Problem this is the best Scots team in a generation and they won’t win anything. I’m a fan but still not quite enough to get over the line and win a grand slam.,0,Disagree:3,Disagree,3
"As a French fan, happy win the win, absolutely not the manner.<br><br>Too many mistakes in rucks, touch, under high balls, etc... It was atrocious to watch. <br><br>Galthié must forget this 6N and challenge Lucu, Fickou, Danty... And launch Le Garrec, Depoortere, Gailleton. This team is mentally exhausted since the World Cup. They need fresh ideas and legs before Dupont and Ntamack 2025 comebacks.<br><br>PS: this TMO decision was clearly hard to take for scot fans. Right from a ref insight  but Wrong in the spirit of the game. UP to World Rugby to clarify this TMO process.",0,Disagree:4,Disagree,4
"What a terrible game,almost nodded after twice,hopefully today's match will b better.",0,Disagree:2,Disagree,2
No fan of Scotland but they was robbed.,0,Disagree:4,Disagree,4
How could you have not included the incredible gather of Finn Russel at the end???,0,Disagree:4,Disagree,4
Robbed my arse! Even the commentator said he couldn't se a grounding.,1,Disagree:3,Disagree,3
Scots were done in there forsure,0,Disagree:4,Disagree,4
There’s a French arm under the ball. It’s gotta touch the turf.,0,Disagree:4,Disagree,4
Sickening.,0,Disagree:4,Disagree,4
Final side shot clearly shows ball grounded-ridiculous decision!!,0,Disagree:4,Disagree,4
"This tmo needs to be smacked against his ear, just to test if he could listen, cause clearly there's something wrong with his eyes.scotland were robbed with a classic victory",0,Disagree:4,Disagree,4
"well done world rugby for taking the greatest game in the world and ruining it. tryst your product people, this is a great sport, and our players are great entertainers, what is the need to set up every other game?",0,Disagree:4,Disagree,4
Rugby it’s no longer a game. It’s only show business 😢,0,Disagree:4,Disagree,4
If it was against Italy It was a try for 100% sure,0,Disagree:4,Disagree,4
I absolutely love European sports because most of the countries (even the winner of the game) will point out when someone else should have won. Much respect to the French fans in the comments. American/Ireland here.,0,Disagree:4,Disagree,4
Welcome to Nick Berry. Check his bank Account!!,0,Disagree:4,Disagree,4
"I'm english - so I've no love for Scotland or France - as such, I'm completely unbiased - that was a Try. <br><br>You can clearly see the Gilbert logo and it's low down enough that it <b>has</b> to be touching the grass. You can see the height difference in the logo when it's been held up later.",1,Disagree:4,Disagree,4
"Not robbed. Hindsight is 20/20 but with the new rule about being held up over the try line, it’s maybe better to look at moving the ball a bit wider in an attacking situation like that.",0,Agree:4,Agree,4
スコットランド負けてつらい,0,Disagree:4,Disagree,4
Scotland won that and are the best team in the six nations.,0,Disagree:4,Disagree,4
"...seriously? The TMOs need to start growing a pair of balls. lately they have just been so scared of making any decision whatsoever basically shrugging and telling the ref to live his best life. watching that footage its pretty clear that the ball, even tho you cant see the bottom of it, is almost certainly grounded. denying a team a score after they have clearly gotten over the line and almost certainly grounded it is not in the spirit of the game.",0,Disagree:3,Disagree,3
"As an England supporter, I was cheering for France but my goodness what a robbery. Nic Berry with his usual awful officiating.",0,Disagree:5,Disagree,5
try inconclusive. right call.,0,Agree:4,Agree,4
"No wonder this was controversial at the death, and I'm no Scot",0,Disagree:4,Disagree,4
"TMO: “There is the ball on the ground” @ 82:55 on the clock. <br><br>Suddenly does a 360 and changes his opinion to the polar opposite. That in itself should be a clear red flag 🚩 when corruption is at play. <br><br>This the fourth occasion at Test level, that the little rat ‘Berry and his assistants have screwed us over.<br><br>The game has gone at this rate.",0,Disagree:4,Disagree,4
Thanks for posting,0,Agree:4,Agree,4
"As a french, Scotland deserved Victory..",0,Disagree:4,Disagree,4
Nick berry at it again 🤡,0,Disagree:5,Disagree,5
Hand definitely under the ball,0,Disagree:4,Disagree,4
oh dear great game by scotland!,0,Disagree:3,Disagree,3
GIGANTIC THEFT! Unacceptable at this level.,0,Disagree:5,Disagree,5
I hate predictive text!,0,Agree:4,Agree,4
TMO,0,Disagree:4,Disagree,4
"What is really galling is that at the critical moment the referee was RIGHT THERE! A clear try, and no T-MOBILE needed. Sorry…FIX!",1,Disagree:4,Disagree,4
The referee is always right.<br>Except Joubert. He’ll go to hell if there is one.,0,Disagree:4,Disagree,4
"Even the highlights find a way of ignoring the conversation that took place. The TMO clearly said that the ball was grounded and then, inexplicably changed his mind after one last look. I'm in Toronto, Canada and I could see it was down. Unbelievable. Scotland robbed by an Irish TMO. Hmmm, the plot thickens. One loss each to Wales, Scotland, France and Italy, Ireland will walk this tournament and the refs will continue to fall into the abyss. Must do a better job.",0,Disagree:4,Disagree,4
Speriamo non finisca come nel calcio! Comunque vale ancora la vecchia legge che dice palla contesa palla alla difesa,0,Disagree:4,Disagree,4
I saw the ball clearly grounded.,0,Disagree:4,Disagree,4
"scotland robbed.. yet again,,,<br>Kiwi fan.. ive seen this a few times lol.. typucal rugby, a game shouldnt end with a held up honestly wth..",0,Disagree:4,Disagree,4
That was a try by Scotland.,0,Disagree:4,Disagree,4
Wait until that type of decision is against France 😂 than they want to go to press conferences,0,Agree:3,Agree,3
Reminds me of the Thierry Henry handball from France all those years ago.,0,Disagree:3,Disagree,3
"Absolutely no commonsense can be applied when we default decision making to technology! Now, think bigger picture........AI. If we're in trouble in rugby how much trouble are we in societally and as a species??",0,Disagree:4,Disagree,4
"Scotland beats us in almost every single compartiment of the game... Great job scottish, the ref choose to steal that precious win.. but keep that mighty level !",0,Disagree:4,Disagree,4
robbed!,0,Disagree:4,Disagree,4
this is a tough pill,0,Disagree:4,Disagree,4
"A ""not good for rugby"" decision here. But it was great to see how gracefully the Scots plsyers snd fsns accepted the defeat. And it is nice to read here , the humble comnents of French supports.",0,Disagree:3,Disagree,3
"Embarrassing to say the least. If in doubt, should be a try.",0,Disagree:3,Disagree,3
Correct decision at the end by the ref,3,Agree:4,Agree,4
The responsibility is on Nic Berry on this one and not the TMO. His on-field decision was wrong and therefore didn't leave the choice for the TMO to show him an 100% proof that the ball was grounded... The scots have been unlucky this whole game I feel for them.,1,Disagree:4,Disagree,4
"100% robbed, that's a try all day! And I'm English!",1,Disagree:5,Disagree,5
"I’m a Frenchman and me too, I’m not happy with this “victory”… Scotland must have won the game. My apologies to my Scottish friends",2,Disagree:4,Disagree,4
That was a try.French were lucky.,0,Disagree:4,Disagree,4
L'essai n'était pas clair du tout. Donc la victoire de la France est méritée. Quand je pense au nombre de fois où on s'est fait voler...Et personne ne plaignait alors les Français,0,Agree:4,Agree,4
Officiating ruined a weekend of rugby yet again ! In both games !!! Absaloutley f@cking disgusting 😡😡😡,0,Disagree:4,Disagree,4
"fair call., the ref was on the spot unlike the salty armchair experts who think he grounded it when he was clearly held up. Considering how strong Scotland are supposed to be they should have won by a big margin since they played a weakened French side but instead found a way to lose it aye",0,Agree:4,Agree,4
French too classy Scotland lost momentum,0,Agree:4,Agree,4
Nick Berry 😂😂😂 the poes again,0,Disagree:4,Disagree,4
"I laughed hard, well done France.",1,Agree:4,Agree,4
Truly disgraceful decision,0,Disagree:4,Disagree,4
"Neither French nor Scottish supporter but what a game! Unfortunately as much as I think that Scotland deserved the win, I would have to side with the TMO and the Ref. If the ref has seen it being held up and asks the TMO to find any angle to overturn his decision…with as much repeated replays of what we saw and yes we were all 99% sure it was grounded but the that 1% doesn’t give us a conclusive evidence to overturn the decision. And In my opinion  the officials did a great job with the final outcome. Even the TMO was trying hard to give a decision to overturn it but it just wasn’t 100%. I’m a neutral but wanted Scotland to win as I feel it’s long overdue that they should be in for a 6N Title. Hoping they can bounce back and be great to see Scotland and Italy be occupying 1st and 2nd place, wishful thinking but would be a welcome change for the neutrals amongst us! Rugby won and must say FINN is on another level! MS is the FINN that England need. These mavericks come once in a bluemoon and by good grace coaches should utilise them for there style of play, more of seeing whats in front of them and less of structured play. Excited for the next round in a fortnight but at the same time hope Italy bring something to match the Irish who obviously are the team to beat this year!",0,Agree:4,Agree,4
"The most ashamed TMO performance. World Rugby should also be embarrassed, with such an ancient mindset of the interpretation of the technology available.",0,Disagree:4,Disagree,4
"Nic Berry, wrong again.",0,Disagree:4,Disagree,4
Looked like a try to me Scotland were robbed,0,Disagree:4,Disagree,4
"So manies soppy french here , come on stop apologising 😂",0,Disagree:3,Disagree,3
Scotland Robbed terrible refereeing why have the systems in place that clearly show the ball was grounded then they make a terrible conclusion i feel for Scotland …,0,Disagree:4,Disagree,4
That last try seems valid...<br>Tuilagi did an interview though where he stated that his hand was under the ball at that moment. That's why you should stick with the on-field decision,0,Disagree:3,Disagree,3
"It definitley touched at <a href=""https://www.youtube.com/watch?v=Rcst-jIOQDo&t=222"">3:42</a>",0,Disagree:4,Disagree,4
"Nic Berry non può più arbitrare partite di questo livello. Scandalose tante sue decisioni e scandalose le tante sviste sul regolamento di gioco, poi la meta finale per la Scozia c'era, l'abbiamo vista tutti francesi compresi, solo lui e il tmo non l'hanno vista. C'é puzza di truffa.",0,Disagree:4,Disagree,4
"England wales is 720p50, why is this one not  available in 50 frame per seconds as well ?",0,Agree:3,Agree,3
The ref was ready to change his mind and give the try after watching the replays but the video referee stopped him,0,Disagree:4,Disagree,4
"Blatant robbery, shocking decisions from red and tmo, world rugby needs to do something about this",0,Disagree:5,Disagree,5
"All eclipse ball must contain accelerometers in order to help judgements.<br>I saw similar situation in Japan Rugby League One 2022-23 Semi-final match, Spears vs Sungoliath.",0,Disagree:4,Disagree,4
"He should have said , ""is there any reason I cannot award the try.""",1,Disagree:4,Disagree,4
that ball touched the ground.  it is impossible for it not to have touched the ground from what we saw.,0,Disagree:4,Disagree,4
Wasn't Nic Berry the guy Rassie tore into 😂,2,Agree:3,Agree,3
dont think any one feels.....good......about this........damn shame..... but thats sport...,0,Agree:3,Agree,3
100% Robbed,0,Disagree:4,Disagree,4
"Was Scotland robbed at🎉 end here? Perhaps. But was France robbed when DVDM was clearly offside at the ruck, 2 metres from the Scotland line, but is allowed to intercept the ball and counter 50 metres down the field? Absolutely. The only difference was the point in the game. I",0,Disagree:4,Disagree,4
"Good Lord. The ball was obviously down. The ref's decision I can maybe understand, flawed though it was. The TV official was either blind or paid off.",0,Disagree:4,Disagree,4
"whats the point of a ref so close, yet he still cannot see a ball.",0,Disagree:4,Disagree,4
Robbed,0,Disagree:4,Disagree,4
Scotland were robbed.,0,Disagree:4,Disagree,4
This was a try!!!!!,1,Disagree:4,Disagree,4
Got to stop to kick tennis.simple rule change.kicker must put all his players inside.😮,0,Disagree:4,Disagree,4
Wow what a match!!,2,Agree:3,Agree,3
Not conclusive imo,0,Disagree:3,Disagree,3
"Us Frenchmen did not appreciate that one bit, its just a shame. I thought 2 massive offside positions were forgotten though (VdM after Fickou break, Russell last action)<br>Refs have too much influence on the game it's getting very grustrating",2,Disagree:3,Disagree,3
Who would have thought that Craig Joubert at the 2011 RWC Final would be overshadowed,9,Disagree:4,Disagree,4
Nemo me impune lacessit.Enuff sed.,0,Disagree:4,Disagree,4
Scotland robbed,0,Disagree:4,Disagree,4
"Adding to the general opinion here...we steal the victory on a controversial ref decision. Tuilagi claims his hand was under the ball but from the replay, the try was there. So, sorry too for the Scots and kudos for the fair spirit of both players and crowd in Edinburgh in spite of the frustration. Both the coach and players are in full denial regarding our situation: without Dupont, Ntamack, Jelonch, Flament, etc we re not a very good team. Period. We should just acknowledge 2024 will not be our best year, learn, have fun and move on...",1,Disagree:4,Disagree,4
"TMOs are absolutly f**king the game , that was clearly a try ,",0,Disagree:4,Disagree,4
